dx1/x_m	Lateral
0.00918	0.99272
0.01467	0.95439
0.0287	0.91208
0.04006	0.85457
0.06678	0.76334
0.09381	0.66418
0.11833	0.6179
0.14477	0.54782
0.16901	0.5174
0.18988	0.4546
0.2184	0.43277
0.24527	0.40499
0.26983	0.37788
0.32067	0.34942
0.36588	0.30247
0.41701	0.25815
0.4675	0.22044
0.52852	0.19198
0.77758	0.1059
1.02871	0.06211
1.2802	0.00877
1.52598	0.00166
1.78245	-0.01829
2.02173	-0.02443
2.27648	-0.03444
2.52309	-0.03256
2.75718	-0.02361
3.48156	-0.01412
3.99741	-0.00812
4.50917	-0.0034
